                Game of the Rope - Description of the internal state
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
SOM  WFRC SAB 10 SAB 10 SAB  9 SAB  7 SAB 10  WFRC SAB  9 SAB  9 SAB 10 SAB  9 SAB  9 - - - . - - - -  -
Game 1
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
SOG  WFRC SAB 10 SAB 10 SAB  9 SAB  7 SAB 10  WFRC SAB  9 SAB  9 SAB 10 SAB  9 SAB  9 - - - . - - - -  -
TRY  WFRC SAB 10 SAB 10 SAB  9 SAB  7 SAB 10  WFRC SAB  9 SAB  9 SAB 10 SAB  9 SAB  9 - - - . - - - -  -
TRY  WFRC SAB 10 SAB 10 SAB  9 SAB  7 SAB 10  ASTM SAB  9 SAB  9 SAB 10 SAB  9 SAB  9 - - - . - - - -  -
TRY  WFRC SAB 10 SAB 10 SAB  9 SAB  7 SAB 10  ASTM SAB  9 SAB  9 SAB 10 SAB 10 SAB  9 - - - . - - - -  -
TRY  WFRC SAB 10 SAB 10 SAB  9 SAB  7 SAB 10  ASTM SAB  9 SAB  9 SAB 10 SAB 10 SAB 10 - - - . - - - -  -
TRY  WFRC SAB 10 SAB 10 SAB  9 SAB  7 SAB 10  ASTM SIP  9 SAB  9 SAB 10 SAB 10 SAB 10 5 - - . - - - -  -
TRY  WFRC SAB 10 SAB 10 SAB  9 SAB  7 SAB 10  ASTM SIP  9 SIP  9 SAB 10 SAB 10 SAB 10 5 6 - . - - - -  -
TRY  WFRC SAB 10 SAB 10 SAB  9 SAB  7 SAB 10  ASTM SIP  9 SIP  9 SIP 10 SAB 10 SAB 10 5 6 7 . - - - -  -
TRY  ASTM SAB 10 SAB 10 SAB  9 SAB  7 SAB 10  ASTM SIP  9 SIP  9 SIP 10 SAB 10 SAB 10 5 6 7 . - - - -  -
TRY  ASTM SAB 10 SAB 10 SAB  9 SAB  8 SAB 10  ASTM SIP  9 SIP  9 SIP 10 SAB 10 SAB 10 5 6 7 . - - - -  -
TRY  ASTM SAB 10 SAB 10 SAB  9 SAB  8 SAB 10  ASTM SIP  9 SIP  9 SIP 10 SAB 10 SAB 10 5 6 7 . - - - -  -
TRY  ASTM SIP 10 SAB 10 SAB  9 SAB  8 SAB 10  ASTM SIP  9 SIP  9 SIP 10 SAB 10 SAB 10 5 6 7 . 0 - - -  -
TRY  ASTM SIP 10 SAB 10 SIP  9 SAB  8 SAB 10  ASTM SIP  9 SIP  9 SIP 10 SAB 10 SAB 10 5 6 7 . 0 2 - -  -
TRY  ASTM SIP 10 SIP 10 SIP  9 SAB  8 SAB 10  ASTM SIP  9 SIP  9 SIP 10 SAB 10 SAB 10 5 6 7 . 0 2 1 -  -
TRY  WATL SIP 10 SIP 10 SIP  9 SAB  8 SAB 10  ASTM SIP  9 SIP  9 SIP 10 SAB 10 SAB 10 5 6 7 . 0 2 1 -  -
TRY  WATL SIP 10 SIP 10 SIP  9 SAB  8 SAB 10  WATL SIP  9 SIP  9 SIP 10 SAB 10 SAB 10 5 6 7 . 0 2 1 -  -
TRY  WATL SIP 10 SIP 10 SIP  9 SAB  8 SAB 10  WATL SIP  9 SIP  9 SIP 10 SAB 10 SAB 10 5 6 7 . 0 2 1 -  -
WTC  WATL SIP 10 SIP 10 SIP  9 SAB  8 SAB 10  WATL SIP  9 SIP  9 SIP 10 SAB 10 SAB 10 5 6 7 . 0 2 1 1  0
WTC  WATL SIP 10 SIP 10 DYB  9 SAB  8 SAB 10  WATL SIP  9 SIP  9 SIP 10 SAB 10 SAB 10 5 6 7 . 0 2 1 1  0
WTC  WATL DYB 10 SIP 10 DYB  9 SAB  8 SAB 10  WATL SIP  9 SIP  9 SIP 10 SAB 10 SAB 10 5 6 7 . 0 2 1 1  0
WTC  WATL DYB 10 SIP 10 DYB  9 SAB  8 SAB 10  WATL SIP  9 SIP  9 DYB 10 SAB 10 SAB 10 5 6 7 . 0 2 1 1  0
