                Game of the Rope - Description of the internal state
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
001   001 001  8 001  6 001  8 001  7 001  9   001 001  8 001 10 001  9 001  9 001  7 - - - . - - - -  -
Game 1
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
002   001 001  8 001  6 001  8 001  7 001  9   001 001  8 001 10 001  9 001  9 001  7 - - - . - - - -  -
003   001 001  8 001  6 001  8 001  7 001  9   001 001  8 001 10 001  9 001  9 001  7 - - - . - - - -  -
003   001 001  8 001  6 001  8 001  7 001  9   002 001  8 001 10 001  9 001  9 001  7 - - - . - - - -  -
003   001 001  8 001  6 001  8 001  7 001  9   002 001  9 001 10 001  9 001  9 001  7 - - - . - - - -  -
003   001 001  8 001  6 001  8 001  7 001  9   002 001  9 001 10 001  9 001  9 001  8 - - - . - - - -  -
003   002 001  8 001  6 001  8 001  7 001  9   002 001  9 001 10 001  9 001  9 001  8 - - - . - - - -  -
003   002 001  8 001  7 001  8 001  7 001  9   002 001  9 001 10 001  9 001  9 001  8 - - - . - - - -  -
003   002 001  8 001  7 001  8 001  8 001  9   002 001  9 001 10 001  9 001  9 001  8 - - - . - - - -  -
003   002 001  8 001  7 002  8 001  8 001  9   002 001  9 001 10 001  9 001  9 001  8 - - - . 2 - - -  -
003   002 001  8 001  7 002  8 001  8 002  9   002 001  9 001 10 001  9 001  9 001  8 - - - . 2 4 - -  -
003   002 001  8 001  7 002  8 001  8 002  9   002 001  9 002 10 001  9 001  9 001  8 6 - - . 2 4 - -  -
003   002 001  8 001  7 002  8 001  8 002  9   002 001  9 002 10 002  9 001  9 001  8 6 7 - . 2 4 - -  -
003   002 001  8 001  7 002  8 001  8 002  9   002 001  9 002 10 002  9 002  9 001  8 6 7 8 . 2 4 - -  -
003   002 002  8 001  7 002  8 001  8 002  9   002 001  9 002 10 002  9 002  9 001  8 6 7 8 . 2 4 0 -  -
003   003 002  8 001  7 002  8 001  8 002  9   002 001  9 002 10 002  9 002  9 001  8 6 7 8 . 2 4 0 -  -
003   003 002  8 001  7 002  8 001  8 002  9   003 001  9 002 10 002  9 002  9 001  8 6 7 8 . 2 4 0 -  -
003   003 002  8 001  7 002  8 001  8 002  9   003 001  9 002 10 002  9 002  9 001  8 6 7 8 . 2 4 0 -  -
004   003 002  8 001  7 002  8 001  8 002  9   003 001  9 002 10 002  9 002  9 001  8 6 7 8 . 2 4 0 1  0
004   003 002  8 001  7 002  8 001  8 002  9   003 001  9 002 10 002  9 003  9 001  8 6 7 8 . 2 4 0 1  0
004   003 002  8 001  7 002  8 001  8 002  9   003 001  9 002 10 003  9 003  9 001  8 6 7 8 . 2 4 0 1  0
004   003 002  8 001  7 002  8 001  8 002  9   003 001  9 003 10 003  9 003  9 001  8 6 7 8 . 2 4 0 1  0
004   003 002  8 001  7 002  8 001  8 003  9   003 001  9 003 10 003  9 003  9 001  8 6 7 8 . 2 4 0 1  0
004   003 002  8 001  7 003  8 001  8 003  9   003 001  9 003 10 003  9 003  9 001  8 6 7 8 . 2 4 0 1  0
004   003 003  8 001  7 003  8 001  8 003  9   003 001  9 003 10 003  9 003  9 001  8 6 7 8 . 2 4 0 1  0
004   003 003  8 001  7 003  8 001  8 003  9   003 001  9 003 10 003  9 003  9 001  8 6 7 8 . 2 4 0 1  3
004   003 001  7 001  7 003  8 001  8 003  9   003 001  9 003 10 003  9 003  9 001  8 6 7 8 . 2 4 - 1  3
004   001 001  7 001  7 003  8 001  8 003  9   003 001  9 003 10 003  9 003  9 001  8 6 7 8 . 2 4 - 1  3
004   001 001  7 001  7 003  8 001  8 003  9   003 001  9 001  9 003  9 003  9 001  8 7 8 - . 2 4 - 1  3
004   001 001  7 001  7 003  8 001  8 003  9   001 001  9 001  9 003  9 003  9 001  8 7 8 - . 2 4 - 1  3
004   001 001  7 001  7 003  8 001  8 003  9   001 001  9 001  9 001  8 003  9 001  8 8 - - . 2 4 - 1  3
004   001 001  7 001  7 003  8 001  8 003  9   001 001  9 001  9 001  8 001  8 001  8 - - - . 2 4 - 1  3
004   001 001  7 001  7 001  7 001  8 003  9   001 001  9 001  9 001  8 001  8 001  8 - - - . 4 - - 1  3
004   001 001  7 001  7 001  7 001  8 001  8   001 001  9 001  9 001  8 001  8 001  8 - - - . - - - 1  3
003   001 001  7 001  7 001  7 001  8 001  8   001 001  9 001  9 001  8 001  8 001  8 - - - . - - - -  -
003   001 001  7 001  7 001  7 001  8 001  8   002 001  9 001  9 001  8 001  8 001  8 - - - . - - - -  -
003   001 001  7 001  7 001  7 001  8 001  8   002 001  9 001  9 001  8 001  9 001  8 - - - . - - - -  -
003   001 001  7 001  7 001  7 001  8 001  8   002 001  9 001  9 001  8 001  9 001  9 - - - . - - - -  -
003   002 001  7 001  7 001  7 001  8 001  8   002 001  9 001  9 001  8 001  9 001  9 - - - . - - - -  -
003   002 001  7 001  8 001  7 001  8 001  8   002 001  9 001  9 001  8 001  9 001  9 - - - . - - - -  -
003   002 001  7 001  8 001  7 001  9 001  8   002 001  9 001  9 001  8 001  9 001  9 - - - . - - - -  -
003   002 001  7 001  8 001  7 001  9 001  8   002 002  9 001  9 001  8 001  9 001  9 5 - - . - - - -  -
003   002 002  7 001  8 001  7 001  9 001  8   002 002  9 001  9 001  8 001  9 001  9 5 - - . 0 - - -  -
003   002 002  7 001  8 001  7 001  9 001  8   002 002  9 002  9 001  8 001  9 001  9 5 6 - . 0 - - -  -
003   002 002  7 001  8 001  7 001  9 001  8   002 002  9 002  9 002  8 001  9 001  9 5 6 7 . 0 - - -  -
003   002 002  7 001  8 002  7 001  9 001  8   002 002  9 002  9 002  8 001  9 001  9 5 6 7 . 0 2 - -  -
003   002 002  7 001  8 002  7 001  9 002  8   002 002  9 002  9 002  8 001  9 001  9 5 6 7 . 0 2 4 -  -
003   003 002  7 001  8 002  7 001  9 002  8   002 002  9 002  9 002  8 001  9 001  9 5 6 7 . 0 2 4 -  -
003   003 002  7 001  8 002  7 001  9 002  8   003 002  9 002  9 002  8 001  9 001  9 5 6 7 . 0 2 4 -  -
003   003 002  7 001  8 002  7 001  9 002  8   003 002  9 002  9 002  8 001  9 001  9 5 6 7 . 0 2 4 -  -
